id,value
532,value532
533,value533
534,value534
535,value535
536,value536
537,value537
538,value538
539,value539
540,value540
541,value541
542,value542
543,value543
544,value544
545,value545
546,value546
547,value547
548,value548
549,value549
550,value550
551,value551
552,value552
553,value553
554,value554
555,value555
556,value556
557,value557
558,value558
559,value559
560,value560
561,value561
562,value562
563,value563
564,value564
565,value565
566,value566
567,value567
568,value568
569,value569
570,value570
571,value571
572,value572
573,value573
574,value574
575,value575
576,value576
577,value577
578,value578
579,value579
580,value580
581,value581
582,value582
583,value583
584,value584
585,value585
586,value586
587,value587
588,value588
589,value589
590,value590
591,value591
592,value592
593,value593
594,value594
595,value595
596,value596
597,value597
598,value598
599,value599
600,value600
601,value601
602,value602
603,value603
604,value604
605,value605
606,value606
607,value607
608,value608
609,value609
610,value610
611,value611
612,value612
613,value613
614,value614
615,value615
616,value616
617,value617
618,value618
619,value619
620,value620
621,value621
622,value622
623,value623
624,value624
625,value625
626,value626
627,value627
628,value628
629,value629
630,value630
631,value631
632,value632
633,value633
634,value634
635,value635
636,value636
637,value637
638,value638
639,value639
640,value640
641,value641
642,value642
643,value643
644,value644
645,value645
646,value646
647,value647
648,value648
649,value649
650,value650
651,value651
652,value652
653,value653
654,value654
655,value655
656,value656
657,value657
658,value658
659,value659
660,value660
661,value661
662,value662
663,value663
664,value664
665,value665
666,value666
667,value667
668,value668
669,value669
670,value670
671,value671
672,value672
673,value673
674,value674
675,value675
676,value676
677,value677
678,value678
679,value679
680,value680
681,value681
682,value682
683,value683
684,value684
685,value685
686,value686
687,value687
688,value688
689,value689
690,value690
691,value691
692,value692
693,value693
694,value694
695,value695
696,value696
697,value697
698,value698
699,value699
700,value700
701,value701
702,value702
703,value703
704,value704
705,value705
706,value706
707,value707
708,value708
709,value709
710,value710
711,value711
712,value712
713,value713
714,value714
715,value715
716,value716
717,value717
718,value718
719,value719
720,value720
721,value721
722,value722
723,value723
724,value724
725,value725
726,value726
727,value727
728,value728
729,value729
730,value730
731,value731
732,value732
733,value733
734,value734
735,value735
736,value736
737,value737
738,value738
739,value739
740,value740
741,value741
742,value742
743,value743
744,value744
745,value745
746,value746
747,value747
748,value748
749,value749
750,value750
751,value751
752,value752
753,value753
754,value754
755,value755
756,value756
757,value757
758,value758
759,value759
760,value760
761,value761
762,value762
763,value763
764,value764
765,value765
766,value766
767,value767
768,value768
769,value769
770,value770
771,value771
772,value772
773,value773
774,value774
775,value775
776,value776
777,value777
778,value778
779,value779
780,value780
781,value781
782,value782
783,value783
784,value784
785,value785
786,value786
787,value787
788,value788
789,value789
790,value790
791,value791
792,value792
793,value793
794,value794
795,value795
796,value796
797,value797
798,value798
799,value799
800,value800
801,value801
802,value802
803,value803
804,value804
805,value805
806,value806
807,value807
808,value808
809,value809
810,value810
811,value811
812,value812
813,value813
814,value814
815,value815
816,value816
817,value817
818,value818
819,value819
820,value820
821,value821
822,value822
823,value823
824,value824
825,value825
826,value826
827,value827
828,value828
829,value829
830,value830
831,value831
832,value832
833,value833
834,value834
835,value835
836,value836
837,value837
838,value838
839,value839
840,value840
841,value841
842,value842
843,value843
844,value844
845,value845
846,value846
847,value847
848,value848
849,value849
850,value850
851,value851
852,value852
853,value853
854,value854
855,value855
856,value856
857,value857
858,value858
859,value859
860,value860
861,value861
862,value862
863,value863
864,value864
865,value865
866,value866
867,value867
868,value868
869,value869
870,value870
871,value871
872,value872
873,value873
874,value874
875,value875
876,value876
877,value877
878,value878
879,value879
880,value880
881,value881
882,value882
883,value883
884,value884
885,value885
886,value886
887,value887
888,value888
889,value889
890,value890
891,value891
892,value892
893,value893
894,value894
895,value895
896,value896
897,value897
898,value898
899,value899
900,value900
901,value901
902,value902
903,value903
904,value904
905,value905
906,value906
907,value907
908,value908
909,value909
910,value910
911,value911
912,value912
913,value913
914,value914
915,value915
916,value916
917,value917
918,value918
919,value919
920,value920
921,value921
922,value922
923,value923
924,value924
925,value925
926,value926
927,value927
928,value928
929,value929
930,value930
931,value931
932,value932
933,value933
934,value934
935,value935
936,value936
937,value937
938,value938
939,value939
940,value940
941,value941
942,value942
943,value943
944,value944
945,value945
946,value946
947,value947
948,value948
949,value949
950,value950
951,value951
952,value952
953,value953
954,value954
955,value955
956,value956
957,value957
958,value958
959,value959
960,value960
961,value961
962,value962
963,value963
964,value964
965,value965
966,value966
967,value967
968,value968
969,value969
970,value970
971,value971
972,value972
973,value973
974,value974
975,value975
976,value976
977,value977
978,value978
979,value979
980,value980
981,value981
982,value982
983,value983
984,value984
985,value985
986,value986
987,value987
988,value988
989,value989
990,value990
991,value991
992,value992
993,value993
994,value994
995,value995
996,value996
997,value997
998,value998
999,value999
1000,value1000
1001,value1001
1002,value1002
1003,value1003
1004,value1004
1005,value1005
1006,value1006
1007,value1007
1008,value1008
1009,value1009
1010,value1010
1011,value1011
1012,value1012
1013,value1013
1014,value1014
1015,value1015
1016,value1016
1017,value1017
1018,value1018
1019,value1019
1020,value1020
1021,value1021
1022,value1022
1023,value1023
1024,value1024
1025,value1025
1026,value1026
1027,value1027
1028,value1028
1029,value1029
1030,value1030
1031,value1031
1032,value1032
1033,value1033
1034,value1034
1035,value1035
1036,value1036
1037,value1037
1038,value1038
1039,value1039
1040,value1040
1041,value1041
1042,value1042
1043,value1043
1044,value1044
1045,value1045
1046,value1046
1047,value1047
1048,value1048
1049,value1049
1050,value1050
1051,value1051
1052,value1052
1053,value1053
1054,value1054
1055,value1055
1056,value1056
1057,value1057
1058,value1058
1059,value1059
1060,value1060
1061,value1061
1062,value1062
1063,value1063
1064,value1064
1065,value1065
1066,value1066
1067,value1067
1068,value1068
1069,value1069
1070,value1070
1071,value1071
1072,value1072
1073,value1073
1074,value1074
1075,value1075
1076,value1076
1077,value1077
1078,value1078
1079,value1079
1080,value1080
1081,value1081
1082,value1082
1083,value1083
1084,value1084
1085,value1085
1086,value1086
1087,value1087
1088,value1088
1089,value1089
1090,value1090
1091,value1091
1092,value1092
1093,value1093
1094,value1094
1095,value1095
1096,value1096
1097,value1097
1098,value1098
1099,value1099
1100,value1100
1101,value1101
1102,value1102
1103,value1103
1104,value1104
1105,value1105
1106,value1106
1107,value1107
1108,value1108
1109,value1109
1110,value1110
1111,value1111
1112,value1112
1113,value1113
1114,value1114
1115,value1115
1116,value1116
1117,value1117
1118,value1118
1119,value1119
1120,value1120
1121,value1121
1122,value1122
1123,value1123
1124,value1124
1125,value1125
1126,value1126
1127,value1127
1128,value1128
1129,value1129
1130,value1130
1131,value1131
1132,value1132
1133,value1133
1134,value1134
1135,value1135
1136,value1136
1137,value1137
1138,value1138
1139,value1139
1140,value1140
1141,value1141
1142,value1142
1143,value1143
1144,value1144
1145,value1145
1146,value1146
1147,value1147
1148,value1148
1149,value1149
1150,value1150
1151,value1151
1152,value1152
1153,value1153
1154,value1154
1155,value1155
1156,value1156
1157,value1157
1158,value1158
1159,value1159
1160,value1160
1161,value1161
1162,value1162
1163,value1163
1164,value1164
1165,value1165
1166,value1166
1167,value1167
1168,value1168
1169,value1169
1170,value1170
1171,value1171
1172,value1172
1173,value1173
1174,value1174
1175,value1175
1176,value1176
1177,value1177
1178,value1178
1179,value1179
1180,value1180
1181,value1181
1182,value1182
1183,value1183
1184,value1184
1185,value1185
1186,value1186
1187,value1187
1188,value1188
1189,value1189
1190,value1190
1191,value1191
1192,value1192
1193,value1193
1194,value1194
1195,value1195
1196,value1196
1197,value1197
1198,value1198
1199,value1199
1200,value1200
1201,value1201
1202,value1202
1203,value1203
1204,value1204
1205,value1205
1206,value1206
1207,value1207
1208,value1208
1209,value1209
1210,value1210
1211,value1211
1212,value1212
1213,value1213
1214,value1214
1215,value1215
1216,value1216
1217,value1217
1218,value1218
1219,value1219
1220,value1220
1221,value1221
1222,value1222
1223,value1223
1224,value1224
1225,value1225
1226,value1226
1227,value1227
1228,value1228
1229,value1229
1230,value1230
1231,value1231
1232,value1232
1233,value1233
1234,value1234
1235,value1235
1236,value1236
1237,value1237
1238,value1238
1239,value1239
1240,value1240
1241,value1241
1242,value1242
1243,value1243
1244,value1244
1245,value1245
1246,value1246
1247,value1247
1248,value1248
1249,value1249
1250,value1250
1251,value1251
1252,value1252
1253,value1253
1254,value1254
1255,value1255
1256,value1256
1257,value1257
1258,value1258
1259,value1259
1260,value1260
1261,value1261
1262,value1262
1263,value1263
1264,value1264
1265,value1265
1266,value1266
1267,value1267
1268,value1268
1269,value1269
1270,value1270
1271,value1271
1272,value1272
1273,value1273
1274,value1274
1275,value1275
1276,value1276
1277,value1277
1278,value1278
1279,value1279
1280,value1280
1281,value1281
1282,value1282
1283,value1283
1284,value1284
1285,value1285
1286,value1286
1287,value1287
1288,value1288
1289,value1289
1290,value1290
1291,value1291
1292,value1292
1293,value1293
1294,value1294
1295,value1295
1296,value1296
1297,value1297
1298,value1298
1299,value1299
1300,value1300
1301,value1301
1302,value1302
1303,value1303
1304,value1304
1305,value1305
1306,value1306
1307,value1307
1308,value1308
1309,value1309
1310,value1310
1311,value1311
1312,value1312
1313,value1313
1314,value1314
1315,value1315
1316,value1316
1317,value1317
1318,value1318
1319,value1319
1320,value1320
1321,value1321
1322,value1322
1323,value1323
1324,value1324
1325,value1325
1326,value1326
1327,value1327
1328,value1328
1329,value1329
1330,value1330
1331,value1331
1332,value1332
1333,value1333
1334,value1334
1335,value1335
1336,value1336
1337,value1337
1338,value1338
1339,value1339
1340,value1340
1341,value1341
1342,value1342
1343,value1343
1344,value1344
1345,value1345
1346,value1346
1347,value1347
1348,value1348
1349,value1349
1350,value1350
1351,value1351
1352,value1352
1353,value1353
1354,value1354
1355,value1355
1356,value1356
1357,value1357
1358,value1358
1359,value1359
1360,value1360
1361,value1361
1362,value1362
1363,value1363
1364,value1364
1365,value1365
1366,value1366
1367,value1367
1368,value1368
1369,value1369
1370,value1370
1371,value1371
1372,value1372
1373,value1373
1374,value1374
1375,value1375
1376,value1376
1377,value1377
1378,value1378
1379,value1379
1380,value1380
1381,value1381
1382,value1382
1383,value1383
1384,value1384
1385,value1385
1386,value1386
1387,value1387
1388,value1388
1389,value1389
1390,value1390
1391,value1391
1392,value1392
1393,value1393
1394,value1394
1395,value1395
1396,value1396
1397,value1397
1398,value1398
1399,value1399
1400,value1400
1401,value1401
1402,value1402
1403,value1403
1404,value1404
1405,value1405
1406,value1406
1407,value1407
1408,value1408
1409,value1409
1410,value1410
1411,value1411
1412,value1412
1413,value1413
1414,value1414
1415,value1415
1416,value1416
1417,value1417
1418,value1418
1419,value1419
1420,value1420
1421,value1421
1422,value1422
1423,value1423
1424,value1424
1425,value1425
1426,value1426
1427,value1427
1428,value1428
1429,value1429
1430,value1430
1431,value1431
1432,value1432
1433,value1433
1434,value1434
1435,value1435
1436,value1436
1437,value1437
1438,value1438
1439,value1439
1440,value1440
1441,value1441
1442,value1442
1443,value1443
1444,value1444
1445,value1445
1446,value1446
1447,value1447
1448,value1448
1449,value1449
1450,value1450
1451,value1451
1452,value1452
1453,value1453
1454,value1454
1455,value1455
1456,value1456
1457,value1457
1458,value1458
1459,value1459
1460,value1460
1461,value1461
1462,value1462
1463,value1463
1464,value1464
1465,value1465
1466,value1466
1467,value1467
1468,value1468
1469,value1469
1470,value1470
1471,value1471
1472,value1472
1473,value1473
1474,value1474
1475,value1475
1476,value1476
1477,value1477
1478,value1478
1479,value1479
1480,value1480
1481,value1481
1482,value1482
1483,value1483
1484,value1484
1485,value1485
1486,value1486
1487,value1487
1488,value1488
1489,value1489
1490,value1490
1491,value1491
1492,value1492
1493,value1493
1494,value1494
1495,value1495
1496,value1496
1497,value1497
1498,value1498
1499,value1499
1500,value1500
1501,value1501
1502,value1502
1503,value1503
1504,value1504
1505,value1505
1506,value1506
1507,value1507
1508,value1508
1509,value1509
1510,value1510
1511,value1511
1512,value1512
1513,value1513
1514,value1514
1515,value1515
1516,value1516
1517,value1517
1518,value1518
1519,value1519
1520,value1520
1521,value1521
1522,value1522
1523,value1523
1524,value1524
1525,value1525
1526,value1526
1527,value1527
1528,value1528
1529,value1529
1530,value1530
1531,value1531
1532,value1532
1533,value1533
1534,value1534
1535,value1535
1536,value1536
1537,value1537
1538,value1538
1539,value1539
1540,value1540
1541,value1541
1542,value1542
1543,value1543
1544,value1544
1545,value1545
1546,value1546
1547,value1547
1548,value1548
1549,value1549
1550,value1550
1551,value1551
1552,value1552
1553,value1553
1554,value1554
1555,value1555
1556,value1556
1557,value1557
1558,value1558
1559,value1559
1560,value1560
1561,value1561
1562,value1562
1563,value1563
1564,value1564
1565,value1565
1566,value1566
1567,value1567
1568,value1568
1569,value1569
1570,value1570
1571,value1571
1572,value1572
1573,value1573
1574,value1574
1575,value1575
1576,value1576
1577,value1577
1578,value1578
1579,value1579
1580,value1580
1581,value1581
1582,value1582
1583,value1583
1584,value1584
1585,value1585
1586,value1586
1587,value1587
1588,value1588
1589,value1589
1590,value1590
1591,value1591
1592,value1592
1593,value1593
1594,value1594
1595,value1595
1596,value1596
1597,value1597
1598,value1598
1599,value1599
1600,value1600
1601,value1601
1602,value1602
1603,value1603
1604,value1604
1605,value1605
1606,value1606
1607,value1607
1608,value1608
1609,value1609
1610,value1610
1611,value1611
1612,value1612
1613,value1613
1614,value1614
1615,value1615
1616,value1616
1617,value1617
1618,value1618
1619,value1619
1620,value1620
1621,value1621
1622,value1622
1623,value1623
1624,value1624
1625,value1625
1626,value1626
1627,value1627
1628,value1628
1629,value1629
1630,value1630
1631,value1631
1632,value1632
1633,value1633
1634,value1634
1635,value1635
1636,value1636
1637,value1637
1638,value1638
1639,value1639
1640,value1640
1641,value1641
1642,value1642
1643,value1643
1644,value1644
1645,value1645
1646,value1646
1647,value1647
1648,value1648
1649,value1649
1650,value1650
1651,value1651
1652,value1652
1653,value1653
1654,value1654
1655,value1655
1656,value1656
1657,value1657
1658,value1658
1659,value1659
1660,value1660
1661,value1661
1662,value1662
1663,value1663
1664,value1664
1665,value1665
1666,value1666
1667,value1667
1668,value1668
1669,value1669
1670,value1670
1671,value1671
1672,value1672
1673,value1673
1674,value1674
1675,value1675
1676,value1676
1677,value1677
1678,value1678
1679,value1679
1680,value1680
1681,value1681
1682,value1682
1683,value1683
1684,value1684
1685,value1685
1686,value1686
1687,value1687
1688,value1688
1689,value1689
1690,value1690
1691,value1691
1692,value1692
1693,value1693
1694,value1694
1695,value1695
1696,value1696
1697,value1697
1698,value1698
1699,value1699
1700,value1700
1701,value1701
1702,value1702
1703,value1703
1704,value1704
1705,value1705
1706,value1706
1707,value1707
1708,value1708
1709,value1709
1710,value1710
1711,value1711
1712,value1712
1713,value1713
1714,value1714
1715,value1715
1716,value1716
1717,value1717
1718,value1718
1719,value1719
1720,value1720
1721,value1721
1722,value1722
1723,value1723
1724,value1724
1725,value1725
1726,value1726
1727,value1727
1728,value1728
1729,value1729
1730,value1730
1731,value1731
1732,value1732
1733,value1733
1734,value1734
1735,value1735
1736,value1736
1737,value1737
1738,value1738
1739,value1739
1740,value1740
1741,value1741
1742,value1742
1743,value1743
1744,value1744
1745,value1745
1746,value1746
1747,value1747
1748,value1748
1749,value1749
1750,value1750
1751,value1751
1752,value1752
1753,value1753
1754,value1754
1755,value1755
1756,value1756
1757,value1757
1758,value1758
1759,value1759
1760,value1760
1761,value1761
1762,value1762
1763,value1763
1764,value1764
1765,value1765
1766,value1766
1767,value1767
1768,value1768
1769,value1769
1770,value1770
1771,value1771
1772,value1772
1773,value1773
1774,value1774
1775,value1775
1776,value1776
1777,value1777
1778,value1778
1779,value1779
1780,value1780
1781,value1781
1782,value1782
1783,value1783
1784,value1784
1785,value1785
1786,value1786
1787,value1787
1788,value1788
1789,value1789
1790,value1790
1791,value1791
1792,value1792
1793,value1793
1794,value1794
1795,value1795
1796,value1796
1797,value1797
1798,value1798
1799,value1799
1800,value1800
1801,value1801
1802,value1802
1803,value1803
1804,value1804
1805,value1805
1806,value1806
1807,value1807
1808,value1808
1809,value1809
1810,value1810
1811,value1811
1812,value1812
1813,value1813
1814,value1814
1815,value1815
1816,value1816
1817,value1817
1818,value1818
1819,value1819
1820,value1820
1821,value1821
1822,value1822
1823,value1823
1824,value1824
1825,value1825
1826,value1826
1827,value1827
1828,value1828
1829,value1829
1830,value1830
1831,value1831
1832,value1832
1833,value1833
1834,value1834
1835,value1835
1836,value1836
1837,value1837
1838,value1838
1839,value1839
1840,value1840
1841,value1841
1842,value1842
1843,value1843
1844,value1844
1845,value1845
1846,value1846
1847,value1847
1848,value1848
1849,value1849
1850,value1850
1851,value1851
1852,value1852
1853,value1853
1854,value1854
1855,value1855
1856,value1856
1857,value1857
1858,value1858
1859,value1859
1860,value1860
1861,value1861
1862,value1862
1863,value1863
1864,value1864
1865,value1865
1866,value1866
1867,value1867
1868,value1868
1869,value1869
1870,value1870
1871,value1871
1872,value1872
1873,value1873
1874,value1874
1875,value1875
1876,value1876
1877,value1877
1878,value1878
1879,value1879
1880,value1880
1881,value1881
1882,value1882
1883,value1883
1884,value1884
1885,value1885
1886,value1886
1887,value1887
1888,value1888
1889,value1889
1890,value1890
1891,value1891
1892,value1892
1893,value1893
1894,value1894
1895,value1895
1896,value1896
1897,value1897
1898,value1898
1899,value1899
1900,value1900
1901,value1901
1902,value1902
1903,value1903
1904,value1904
1905,value1905
1906,value1906
1907,value1907
1908,value1908
1909,value1909
1910,value1910
1911,value1911
1912,value1912
1913,value1913
1914,value1914
1915,value1915
1916,value1916
1917,value1917
1918,value1918
1919,value1919
1920,value1920
1921,value1921
1922,value1922
1923,value1923
1924,value1924
1925,value1925
1926,value1926
1927,value1927
1928,value1928
1929,value1929
1930,value1930
1931,value1931
1932,value1932
1933,value1933
1934,value1934
1935,value1935
1936,value1936
1937,value1937
1938,value1938
1939,value1939
1940,value1940
1941,value1941
1942,value1942
1943,value1943
1944,value1944
1945,value1945
1946,value1946
1947,value1947
1948,value1948
1949,value1949
1950,value1950
1951,value1951
1952,value1952
1953,value1953
1954,value1954
1955,value1955
1956,value1956
1957,value1957
1958,value1958
1959,value1959
1960,value1960
1961,value1961
1962,value1962
1963,value1963
1964,value1964
1965,value1965
1966,value1966
1967,value1967
1968,value1968
1969,value1969
1970,value1970
1971,value1971
1972,value1972
1973,value1973
1974,value1974
1975,value1975
1976,value1976
1977,value1977
1978,value1978
1979,value1979
1980,value1980
1981,value1981
1982,value1982
1983,value1983
1984,value1984
1985,value1985
1986,value1986
1987,value1987
1988,value1988
1989,value1989
1990,value1990
1991,value1991
1992,value1992
1993,value1993
1994,value1994
1995,value1995
1996,value1996
1997,value1997
1998,value1998
1999,value1999
2000,value2000
2001,value2001
2002,value2002
2003,value2003
2004,value2004
2005,value2005
2006,value2006
2007,value2007
2008,value2008
2009,value2009
2010,value2010
2011,value2011
2012,value2012
2013,value2013
2014,value2014
2015,value2015
2016,value2016
2017,value2017
2018,value2018
2019,value2019
2020,value2020
2021,value2021
2022,value2022
2023,value2023
2024,value2024
2025,value2025
2026,value2026
2027,value2027
2028,value2028
2029,value2029
2030,value2030
2031,value2031
2032,value2032
2033,value2033
2034,value2034
2035,value2035
2036,value2036
2037,value2037
2038,value2038
2039,value2039
2040,value2040
2041,value2041
2042,value2042
2043,value2043
2044,value2044
2045,value2045
2046,value2046
2047,value2047
2048,value2048
2049,value2049
2050,value2050
2051,value2051
2052,value2052
2053,value2053
2054,value2054
2055,value2055
2056,value2056
2057,value2057
2058,value2058
2059,value2059
2060,value2060
2061,value2061
2062,value2062
2063,value2063
2064,value2064
2065,value2065
2066,value2066
2067,value2067
2068,value2068
2069,value2069
2070,value2070
2071,value2071
2072,value2072
2073,value2073
2074,value2074
2075,value2075
2076,value2076
2077,value2077
2078,value2078
2079,value2079
2080,value2080
2081,value2081
2082,value2082
2083,value2083
2084,value2084
2085,value2085
2086,value2086
2087,value2087
2088,value2088
2089,value2089
2090,value2090
2091,value2091
2092,value2092
2093,value2093
2094,value2094
2095,value2095
2096,value2096
2097,value2097
2098,value2098
2099,value2099
2100,value2100
2101,value2101
2102,value2102
2103,value2103
2104,value2104
2105,value2105
2106,value2106
2107,value2107
2108,value2108
2109,value2109
2110,value2110
2111,value2111
2112,value2112
2113,value2113
2114,value2114
2115,value2115
2116,value2116
2117,value2117
2118,value2118
2119,value2119
2120,value2120
2121,value2121
2122,value2122
2123,value2123
2124,value2124
2125,value2125
2126,value2126
2127,value2127
2128,value2128
2129,value2129
2130,value2130
2131,value2131
2132,value2132
2133,value2133
2134,value2134
2135,value2135
2136,value2136
2137,value2137
2138,value2138
2139,value2139
2140,value2140
2141,value2141
2142,value2142
2143,value2143
2144,value2144
2145,value2145
2146,value2146
2147,value2147
2148,value2148
2149,value2149
2150,value2150
2151,value2151
2152,value2152
2153,value2153
2154,value2154
2155,value2155
2156,value2156
2157,value2157
2158,value2158
2159,value2159
2160,value2160
2161,value2161
2162,value2162
2163,value2163
2164,value2164
2165,value2165
2166,value2166
2167,value2167
2168,value2168
2169,value2169
2170,value2170
2171,value2171
2172,value2172
2173,value2173
2174,value2174
2175,value2175
2176,value2176
2177,value2177
2178,value2178
2179,value2179
2180,value2180
2181,value2181
2182,value2182
2183,value2183
2184,value2184
2185,value2185
2186,value2186
2187,value2187
2188,value2188
2189,value2189
2190,value2190
2191,value2191
2192,value2192
2193,value2193
2194,value2194
2195,value2195
2196,value2196
2197,value2197
2198,value2198
2199,value2199
2200,value2200
2201,value2201
2202,value2202
2203,value2203
2204,value2204
2205,value2205
2206,value2206
2207,value2207
2208,value2208
2209,value2209
2210,value2210
2211,value2211
2212,value2212
2213,value2213
2214,value2214
2215,value2215
2216,value2216
2217,value2217
2218,value2218
2219,value2219
2220,value2220
2221,value2221
2222,value2222
2223,value2223
2224,value2224
2225,value2225
2226,value2226
2227,value2227
2228,value2228
2229,value2229
2230,value2230
2231,value2231
2232,value2232
2233,value2233
2234,value2234
2235,value2235
2236,value2236
2237,value2237
2238,value2238
2239,value2239
2240,value2240
2241,value2241
2242,value2242
2243,value2243
2244,value2244
2245,value2245
2246,value2246
2247,value2247
2248,value2248
2249,value2249
2250,value2250
2251,value2251
2252,value2252
2253,value2253
2254,value2254
2255,value2255
2256,value2256
2257,value2257
2258,value2258
2259,value2259
2260,value2260
2261,value2261
2262,value2262
2263,value2263
2264,value2264
2265,value2265
2266,value2266
2267,value2267
2268,value2268
2269,value2269
2270,value2270
2271,value2271
2272,value2272
2273,value2273
2274,value2274
2275,value2275
2276,value2276
2277,value2277
2278,value2278
2279,value2279
2280,value2280
2281,value2281
2282,value2282
2283,value2283
2284,value2284
